,name,interests,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,geo_locations,household_composition,all_fields,targeting,response,audience,timestamp,publisher_platforms
10,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6023516315983], u'name': u'Expats (Sri Lanka)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6023516315983], u'name': u'Expats (Sri Lanka)'}))","{'flexible_spec': [{'behaviors': [{'id': 6023516315983}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":4200,""estimate_ready"":true}}",4200,1496049092,"[""facebook""]"
11,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6019366943583], u'name': u'Expats (Spain)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6019366943583], u'name': u'Expats (Spain)'}))","{'flexible_spec': [{'behaviors': [{'id': 6019366943583}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":10000,""estimate_ready"":true}}",10000,1496049092,"[""facebook""]"
12,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6027148973583], u'name': u'Expats (South Korea)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6027148973583], u'name': u'Expats (South Korea)'}))","{'flexible_spec': [{'behaviors': [{'id': 6027148973583}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":31000,""estimate_ready"":true}}",31000,1496049092,"[""facebook""]"
13,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6019564383383], u'name': u'Expats (South Africa)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6019564383383], u'name': u'Expats (South Africa)'}))","{'flexible_spec': [{'behaviors': [{'id': 6019564383383}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":4600,""estimate_ready"":true}}",4600,1496049092,"[""facebook""]"
14,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6023516403783], u'name': u'Expats (Singapore)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6023516403783], u'name': u'Expats (Singapore)'}))","{'flexible_spec': [{'behaviors': [{'id': 6023516403783}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":2800,""estimate_ready"":true}}",2800,1496049092,"[""facebook""]"
15,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6027149004983], u'name': u'Expats (Serbia)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6027149004983], u'name': u'Expats (Serbia)'}))","{'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":4700,""estimate_ready"":true}}",4700,1496049092,"[""facebook""]"
16,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6023357000583], u'name': u'Expats (Senegal)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6023357000583], u'name': u'Expats (Senegal)'}))","{'flexible_spec': [{'behaviors': [{'id': 6023357000583}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":5900,""estimate_ready"":true}}",5900,1496049092,"[""facebook""]"
17,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6025000813183], u'name': u'Expats (Saudi Arabia)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6025000813183], u'name': u'Expats (Saudi Arabia)'}))","{'flexible_spec': [{'behaviors': [{'id': 6025000813183}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":1500,""estimate_ready"":true}}",1500,1496049092,"[""facebook""]"
18,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6025670492783], u'name': u'Expats (Rwanda)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6025670492783], u'name': u'Expats (Rwanda)'}))","{'flexible_spec': [{'behaviors': [{'id': 6025670492783}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":160,""estimate_ready"":true}}",160,1496049092,"[""facebook""]"
19,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6025000815983], u'name': u'Expats (Russia)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6025000815983], u'name': u'Expats (Russia)'}))","{'flexible_spec': [{'behaviors': [{'id': 6025000815983}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":17000,""estimate_ready"":true}}",17000,1496049092,"[""facebook""]"
